time,worker_task_index,global_step,local_step,loss,acc,time delta
2018-05-21 02:38:29.95950,0,690,690,5.554279,0.9646,0.03524017333984375
2018-05-21 02:38:29.99536,0,700,700,8.714669,0.966,0.03586387634277344
2018-05-21 02:38:30.03112,0,710,710,8.378555,0.9606,0.035755157470703125
2018-05-21 02:38:30.06545,0,720,720,9.468214,0.9672,0.0343317985534668
2018-05-21 02:38:30.09999,0,730,730,3.6941454,0.9668,0.03453707695007324
2018-05-21 02:38:30.13634,0,740,740,12.20713,0.9688,0.036353111267089844
2018-05-21 02:38:30.17266,0,750,750,16.1981,0.9664,0.036314964294433594
2018-05-21 02:38:30.21024,0,760,760,7.366777,0.964,0.0375828742980957
2018-05-21 02:38:30.24645,0,770,770,11.657253,0.965,0.036208152770996094
2018-05-21 02:38:30.28282,0,780,780,5.4387355,0.9654,0.036376953125
2018-05-21 02:38:30.32107,0,790,790,10.404291,0.965,0.03824186325073242
2018-05-21 02:38:30.35821,0,800,800,14.274748,0.9668,0.0371401309967041
2018-05-21 02:38:30.39759,0,810,810,8.5287895,0.9664,0.03938102722167969
2018-05-21 02:38:30.43486,0,820,820,34.929665,0.9658,0.037271976470947266
2018-05-21 02:38:30.47197,0,830,830,5.103198,0.9686,0.037106990814208984
2018-05-21 02:38:30.50978,0,840,840,13.208729,0.973,0.03781700134277344
2018-05-21 02:38:30.54819,0,850,850,19.643835,0.969,0.03840208053588867
2018-05-21 02:38:30.58511,0,860,860,6.2043924,0.9724,0.03692984580993652
2018-05-21 02:38:30.62187,0,870,870,5.598571,0.9688,0.03675508499145508
2018-05-21 02:38:30.65710,0,880,880,5.070934,0.9648,0.0352330207824707
2018-05-21 02:38:30.69358,0,890,890,22.568901,0.9698,0.03647804260253906
2018-05-21 02:38:30.73239,0,900,900,9.224686,0.9662,0.03880500793457031
2018-05-21 02:38:30.77212,0,910,910,14.1210575,0.9708,0.039734840393066406
2018-05-21 02:38:30.80933,0,920,920,9.837738,0.9698,0.03720593452453613
2018-05-21 02:38:30.84541,0,930,930,9.766287,0.9686,0.03608107566833496
2018-05-21 02:38:30.87914,0,940,940,25.693716,0.967,0.0337369441986084
2018-05-21 02:38:30.91457,0,950,950,23.268688,0.9712,0.03542017936706543
2018-05-21 02:38:30.95148,0,960,960,7.0812078,0.9698,0.03691291809082031
2018-05-21 02:38:30.98892,0,970,970,19.141376,0.97,0.03744101524353027
2018-05-21 02:38:31.02739,0,980,980,16.879936,0.9678,0.03847002983093262
2018-05-21 02:38:31.06302,0,990,990,22.057995,0.9672,0.03563094139099121
2018-05-21 02:38:31.10107,0,1000,1000,15.655562,0.967,0.0380549430847168
2018-05-21 02:38:31.13963,0,1010,1010,9.457117,0.9738,0.03855395317077637
2018-05-21 02:38:31.17801,0,1020,1020,6.917926,0.9672,0.03837704658508301
2018-05-21 02:38:31.21558,0,1030,1030,6.4987917,0.9694,0.03757810592651367
2018-05-21 02:38:31.25237,0,1040,1040,16.999622,0.9582,0.036787986755371094
2018-05-21 02:38:31.28952,0,1050,1050,6.1596165,0.9738,0.03714895248413086
2018-05-21 02:38:31.32574,0,1060,1060,11.04276,0.972,0.03622007369995117
2018-05-21 02:38:31.36333,0,1070,1070,4.380475,0.9668,0.03759288787841797
2018-05-21 02:38:31.39820,0,1080,1080,10.917166,0.9644,0.0348660945892334
